label,text,label_num
ham,Quite lor. But dun tell him wait he get complacent...,0
ham,Dear where you. Call me,0
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only,1
ham,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun,0
ham,"* Was really good to see you the other day dudette, been missing you!",0
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,0
ham,Then what about further plan?,0
ham,Ok...,0
ham,This phone has the weirdest auto correct.,0
ham,We left already we at orchard now.,0
ham,SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK åÔMORROW. C U THIS WK? WHO WAS THE MSG 4? åÐ RANDOM!,0
ham,Babe !!!! I LOVE YOU !!!! *covers your face in kisses*,0
ham,"It,,s a taxt massage....tie-pos argh ok! Lool!",0
ham,Water logging in desert. Geoenvironmental implications.,0
ham,Probably earlier than that if the station's where I think it is,0
ham,Watching tv lor. Nice one then i like lor.,0
ham,No..he joined today itself.,0
ham,Every day i use to sleep after  &lt;#&gt;  so only.,0
spam,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,1
ham,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",0
ham,I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.,0
ham,I cant pick the phone right now. Pls send a message,0
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0
ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den...",0
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just å£1.50 per wk 2 opt out send STOP 08452810071 16,1
ham,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment,0
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",0
ham,Got smaller capacity one? Quite ex...,0
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",1
