label,text,label_num
ham,I don't think he has spatula hands!,0
ham,Unlimited texts. Limited minutes.,0
ham,Yeah right! I'll bring my tape measure fri!,0
ham,Roger that. WeÛ÷re probably going to rem in about 20,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0
ham,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM,0
ham,Man this bus is so so so slow. I think you're gonna get there before me,0
ham,Oops. 4 got that bit.,0
ham,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...,0
ham,Dear how you. Are you ok?,0
ham,Wot about on wed nite I am 3 then but only til 9!,0
ham,"Come to me right now, Ahmad",0
spam,Todays Voda numbers ending with 7634 are selected to receive a å£350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,1
ham,Gud mrng dear hav a nice day,0
spam,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,1
spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,1
ham,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",0
ham,Do you want bold 2 or bb torch,0
ham,"Haha figures, well I found the piece and priscilla's bowl",0
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,0
ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",0
ham,Honey boo I'm missing u.,0
ham,He is there. You call and meet him,0
ham,Will be out of class in a few hours. Sorry,0
spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,1
